[    0.11s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   74.59s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   76.30s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   78.02s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   79.74s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   81.46s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   83.17s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   84.89s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   86.61s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   88.33s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   90.05s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   91.76s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   93.49s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   95.21s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   96.92s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   98.64s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  100.36s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  102.08s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  103.80s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  105.51s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  105.72s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  107.44s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  109.15s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  110.87s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  112.59s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  114.31s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  116.02s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  117.74s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  119.46s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  121.18s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  122.90s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  124.63s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  126.34s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  128.06s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  129.77s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  131.49s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  133.21s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  134.92s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  136.65s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  136.86s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  138.58s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  142.01s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  142.01s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  143.73s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  147.16s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  147.16s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  148.88s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  150.60s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  152.32s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  154.03s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  155.76s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  157.49s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  159.21s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  160.93s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  162.66s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  164.39s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  166.12s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  168.01s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  168.02s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  171.41s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  171.41s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  173.10s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  174.80s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  176.51s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  178.23s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  179.97s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  181.70s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  183.43s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  185.15s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  186.89s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  190.35s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  190.35s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  192.08s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  193.80s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  195.52s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  197.23s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  197.42s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  199.14s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  200.86s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  202.58s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  204.29s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  206.02s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  207.73s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  209.45s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  212.89s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  212.89s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  214.61s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  216.32s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[  218.05s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
